customer_id,age_group,gender,membership_status
1,18-25,Other,Platinum
2,36-50,Female,Platinum
3,36-50,Male,Platinum
4,36-50,Other,Silver
5,50+,Female,Gold
6,26-35,Female,Silver
7,18-25,Male,Gold
8,36-50,Male,Gold
9,36-50,Male,Silver
10,18-25,Female,Gold
11,18-25,Male,Gold
12,26-35,Female,Gold
13,50+,Female,Silver
14,26-35,Other,Silver
15,36-50,Other,Silver
16,36-50,Male,Platinum
17,50+,Other,Platinum
18,26-35,Female,Gold
19,18-25,Male,Gold
20,26-35,Other,Platinum
21,18-25,Female,Platinum
22,50+,Male,Gold
23,36-50,Other,Gold
24,50+,Male,Silver
25,26-35,Female,Platinum
26,26-35,Female,Platinum
27,50+,Female,Gold
28,36-50,Female,Platinum
29,50+,Female,Gold
30,26-35,Other,Platinum
31,26-35,Female,Gold
32,26-35,Other,Silver
33,26-35,Other,Silver
34,50+,Male,Gold
35,18-25,Male,Platinum
36,50+,Other,Silver
37,50+,Other,Gold
38,26-35,Male,Platinum
39,50+,Female,Silver
40,26-35,Male,Platinum
41,26-35,Male,Platinum
42,26-35,Male,Silver
43,50+,Male,Silver
44,18-25,Female,Silver
45,36-50,Male,Platinum
46,36-50,Female,Platinum
47,50+,Female,Platinum
48,36-50,Male,Silver
49,36-50,Female,Platinum
50,26-35,Female,Platinum
